first_name,second_name,year,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
James,Ward-Prowse,2022-2023,7,2,114,2925,56,1022.6,745.2,281,15,608,204.9,4,0,5,5.4,62,MID
Adam,Armstrong,2022-2023,1,1,46,1252,20,135.7,134.4,241,3,123,50.2,1,0,2,0.7,53,FWD
Kyle,Walker-Peters,2022-2023,1,0,54,2200,42,223.9,336,160,2,279,72,3,0,3,0.7,44,DEF
Jan,Bednarek,2022-2023,0,0,31,1320,24,36.5,280.2,43,2,253,36,3,0,3,0.2,42,DEF
Che,Adams,2022-2023,5,5,91,1899,35,327.6,335.8,549,9,265,120.5,4,0,1,0.8,60,FWD
Nathan,Tella,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID
Lyanco,Silveira Neves Vojnovic,2022-2023,0,0,16,782,14,19.7,144.8,68,0,114,23.4,0,0,4,0,44,DEF
Yan,Valery,2022-2023,0,0,0,45,2,0.9,4,0,0,1,0.5,0,0,0,0.3,40,DEF
Will,Smallbone,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Ibrahima,Diallo,2022-2023,0,0,19,813,19,66,85.4,28,0,95,17.7,0,0,4,0.3,42,MID
Romain,Perraud,2022-2023,2,2,71,1828,35,251.5,352.6,292,5,304,89.5,4,0,4,0.6,41,DEF
Moussa,Djenepo,2022-2023,0,2,25,622,13,111.9,136.6,66,0,113,31.7,0,0,0,0.1,50,MID
Tino,Livramento,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,DEF
Mohammed,Salisu,2022-2023,0,1,33,1971,41,109.7,537.4,167,2,305,81.5,1,0,5,0.1,43,DEF
Mateusz,Lis,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,40,GK
Gavin,Bazunu,2022-2023,0,0,84,2880,56,10,633,0,3,485,64.2,4,0,0,0.7,45,GK
Armel,Bella-Kotchap,2022-2023,0,2,48,1754,34,75.8,388.4,103,5,315,57,3,0,4,0.2,45,DEF
Willy,Caballero,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,39,GK
Joe,Ayodele-Aribo,2022-2023,2,0,44,1150,21,134.1,205.4,366,3,155,70.8,1,0,2,0.3,50,MID
Sékou,Mara,2022-2023,1,2,31,510,9,77.2,104.8,165,0,88,33.6,0,0,1,0.1,53,FWD
Juan,Larios López,2022-2023,0,0,4,150,2,7.8,27.6,4,0,28,3.9,0,0,0,0,40,DEF
Duje,Caleta-Car,2022-2023,1,0,28,942,15,14.8,238,66,2,182,32,1,0,2,0,44,DEF
Samuel,Edozie,2022-2023,0,0,22,540,9,85.5,79,125,0,74,28.9,1,0,0,0,46,MID
Lewis,Payne,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Ryan,Finnigan,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
Jimmy,Morgan,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Mislav,Orsic,2022-2023,0,0,1,6,0,0.3,2,0,0,4,0.2,0,0,0,0,51,MID
Carlos,Alcaraz,2022-2023,3,1,38,641,11,48.3,167.4,161,4,109,37.7,0,0,2,0,50,MID
James,Bree,2022-2023,0,0,4,200,5,64.2,42,4,0,33,10.9,0,0,0,0,45,DEF
Kamaldeen,Sulemana,2022-2023,0,0,22,729,13,160.1,64.2,144,0,53,36.8,3,0,1,0,49,MID
Paul,Onuachu,2022-2023,0,0,11,326,6,52.3,27.8,91,0,22,16.9,1,0,0,0,54,FWD
Hugo,Lloris,2022-2023,0,0,89,2205,39,0,540,0,12,456,54,7,0,0,3.3,54,GK
Fraser,Forster,2022-2023,0,0,31,765,14,0,176,0,1,159,17.6,2,0,0,4,39,GK
Harry,Kane,2022-2023,24,8,217,2956,52,610.3,1067.8,1574,38,821,325.4,10,0,5,31.1,115,FWD
Son,Heung-min,2022-2023,9,4,131,2453,45,731.6,586,781,8,401,209.6,8,0,1,6.1,115,MID
Matt,Doherty,2022-2023,1,0,35,663,9,110.5,147,146,2,147,40.3,3,0,0,0.3,46,DEF
Eric,Dier,2022-2023,2,1,95,2724,48,111.9,620.6,231,5,553,96.4,9,0,3,5.7,51,DEF
Lucas,Rodrigues Moura da Silva,2022-2023,0,0,9,119,3,43.3,29,30,0,33,10.2,0,1,0,0.2,58,MID
Ben,Davies,2022-2023,2,3,90,1841,24,238.6,363,166,3,409,76.9,8,0,3,1,47,DEF
Pierre-Emile,Højbjerg,2022-2023,4,5,113,2861,51,458.7,719.8,214,10,589,139.5,9,0,5,2,54,MID
Harry,Winks,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,44,MID
